qid,vsm_top5docs_descending
943,"['M23930749', 'M32090389', 'M30655698', 'M33259351', 'M33343762']"
276,"['M31691687', 'M30245774', 'M33052255', 'M30959096', 'M32140508']"
296,"['M31383886', 'M32668539', 'M29391742', 'M23215711', 'M24779674']"
1428,"['M31983412', 'M33621839', 'M33500321', 'M32425484', 'M32570092']"
292,"['M31184029', 'M32750643', 'M30548639', 'M32441833', 'M31330787']"
1317,"['M25181281', 'M32644979', 'M24218726', 'M31488092', 'M32436235']"
1359,"['M24495787', 'M30648250', 'M24947468', 'NLM101683536', 'M33552845']"
162,"['M19621202', 'M29361065', 'M31244517', 'M24007889', 'M30853130']"
1399,"['M28485862', 'M33082393', 'M31307457', 'M3923151', 'M33128697']"
1115,"['M18520874', 'M21136577', 'M20639801', 'M20584583', 'M24831775']"
