qid,vsm_top5docs_descending
943,"['M30928765', 'M30818032', 'M26950097', 'M26784361', 'M28654771']"
276,"['M33052255', 'M28091678', 'M31691687', 'M30245774', 'M33497806']"
296,"['M31867622', 'M29724406', 'M32971559', 'M30639707', 'M31383886']"
1428,"['M32570092', 'M32608488', 'M33621839', 'M32425484', 'M32130143']"
292,"['M22469265', 'M14498756', 'M32047806', 'M31184029', 'M30901259']"
1317,"['M25181281', 'M9037807', 'M2603262', 'M31488092', 'M31828321']"
1359,"['M24495787', 'M24947468', 'M30648250', 'NLM101683536', 'M28992823']"
162,"['M19621202', 'M29361065', 'M31244517', 'M24007889', 'M30853130']"
1399,"['M28485862', 'M33435878', 'M33128697', 'M33082393', 'M31307457']"
1115,"['M18520874', 'M21136577', 'M20639801', 'M20584583', 'M24831775']"
