qid,vsm_top5docs_descending
943,"['M30928765', 'M32848377', 'M26860797', 'M30818032', 'M26950097']"
276,"['M33052255', 'M28091678', 'M31691687', 'M30245774', 'M33497806']"
296,"['M29984140', 'M31867622', 'M29724406', 'M30639707', 'M31383886']"
1428,"['M32570092', 'M31860592', 'M30517587', 'M32788188', 'M32608488']"
292,"['M22469265', 'M14498756', 'M32047806', 'M31184029', 'M30901259']"
1317,"['M26073898', 'M9037807', 'M31488092', 'M31945036', 'M31204156']"
1359,"['M28501048', 'M28992823', 'M31284573', 'M33552845', 'M33289311']"
162,"['M29361065', 'M25160198', 'M31244517', 'M30853130', 'M32524932']"
1399,"['M3659194', 'M30940201', 'M9740934', 'M33407195', 'M33511544']"
1115,"['M24352211', 'M26562294', 'M25539329', 'M20584583', 'M29651851']"
