,qid,qstr,recordid,title,abstract
1,87,copd,M32239444,Medication Compliance in COPD Patients.,"['Chronic obstructive pulmonary disease (COPD) is one of the most severe public health problems and a leading cause of death worldwide. One of the main reasons for poor control of the disease is low patient compliance with treatment plan. The aim of the study was to investigate sociodemographic and health status factors that may have an influence on adherence to treatment. There were 106 inpatients (F/M, 42/64; mean age 70\xa0±\xa06\xa0years) with COPD enrolled into this retrospective study. Patients completed the Adherence to Refills and Medications Scale (ARMS) to assess adherence to therapy. We found that the mean ARMS score was 23.1\xa0±\xa06.8. About 86% of patients had low adherence, and 14% had good adherence (mean score 3.2\xa0±\xa02.4). The low-adherence patients were more likely to be older (p\xa0=\xa00.020), female (p\xa0=\xa00.011), single (p\xa0=\xa00.019), not professionally active (p\xa0=\xa00.049), hospitalized more often (p\xa0=\xa00.005) and for a longer time (p\xa0=\xa00.046), feel worse (p\xa0=\xa00.023), experience a greater impact of the disease on sleep quality (p\xa0=\xa00.008) and daily activities (p\xa0=\xa00.001), and had a higher GOLD stage of COPD when compared to patients with good adherence patients (p\xa0=\xa00.012). Multiple factor analysis demonstrates that independent adverse predictors of the ARMS score included the following: being single (OR\xa0=\xa03.18), having had more than eight hospitalizations (OR\xa0=\xa01.18), and experiencing dysfunction in daily activities (OR\xa0=\xa01.79). Male gender (OR\xa0=\xa00.77) and longer than 21-day hospitalizations (OR\xa0=\xa00.93) were independent positive predictors of adherence. In conclusion, COPD patients demonstrate a low level of adherence to pharmacotherapy. Adherence is adversely affected by sociodemographic (older age, female gender, being single, and professionally inactive) and clinical factors (more frequent hospitalizations, perception of poor well-being, disordered sleep and daily functioning, and a higher GOLD stage).']"
2,87,copd,M31730394,Genetics of COPD.,"['Although chronic obstructive pulmonary disease (COPD) risk is strongly influenced by cigarette smoking, genetic factors are also important determinants of COPD. In addition to Mendelian syndromes such as alpha-1 antitrypsin deficiency, many genomic regions that influence COPD susceptibility have been identified in genome-wide association studies. Similarly, multiple genomic regions associated with COPD-related phenotypes, such as quantitative emphysema measures, have been found. Identifying the functional variants and key genes within these association regions remains a major challenge. However, newly identified COPD susceptibility genes are already providing novel insights into COPD pathogenesis. Network-based approaches that leverage these genetic discoveries have the potential to assist in decoding the complex genetic architecture of COPD.']"
4,87,copd,M31694841,Sphingolipids in COPD.,"['Sphingolipids are a distinct class of lipid molecules widely found in nature, principally as cell membrane constituents. After initial uncertainty about their function, sphingolipids have been increasingly recognised to be metabolically active entities involved in many biological processes, including the control of inflammation. Their role as mediators of inflammation may have significant implications for a range of lung diseases in which inflammation is a central element of pathogenesis. Chronic obstructive pulmonary disease (COPD), a highly prevalent and morbid condition predominantly affecting cigarette smokers, is a prime example of a respiratory illness with an inflammatory component. Understandably, sphingolipids have received growing attention for their increasingly demonstrated role in the pathophysiology of COPD. The present review aims to be among the first to focus exclusively on the connection between sphingolipids and lung inflammation in COPD, providing the reader with a clinically oriented synopsis of this intriguing association.']"
6,87,copd,M19445783,Copd.,"['Introduction!#!Chronic obstructive pulmonary disease (COPD) is a disease state characterised by airflow limitation that is not fully reversible. The airflow limitation is usually progressive and associated with an abnormal inflammatory response of the lungs to noxious particles or gases. Classically, it is thought to be a combination of emphysema and chronic bronchitis, although only one of these may be present in some people with COPD. The main risk factor for the development and deterioration of COPD is smoking.!##!Methods and outcomes!#!We conducted a systematic review and aimed to answer the following clinical questions: What are the effects of maintenance drug treatment in stable COPD? What are the effects of maintenance drug treatment in stable COPD? What are the effects of non-drug interventions in people with stable COPD? We searched: Medline, Embase, The Cochrane Library, and other important databases up to February 2007 (Clinical Evidence reviews are updated periodically, please check our website for the most up-to-date version of this review). We included harms alerts from relevant organisations such as the US Food and Drug Administration (FDA) and the UK Medicines and Healthcare products Regulatory Agency (MHRA).!##!Results!#!We found 83 systematic reviews, RCTs, or observational studies that met our inclusion criteria. We performed a GRADE evaluation of the quality of evidence for interventions.!##!Conclusions!#!In this systematic review we present information relating to the effectiveness and safety of the following interventions: alpha(1) antitrypsin, antibiotics (prophylactic), anticholinergics (inhaled), beta(2) agonists (inhaled), corticosteroids (oral and inhaled), general physical activity enhancement, inspiratory muscle training, maintaining healthy weight, mucolytics, oxygen treatment (long-term domiciliary treatment), peripheral muscle strength training, psychosocial and pharmacological interventions for smoking cessation, pulmonary rehabilitation, and theophylline.']"
7,87,copd,M32494303,Screening for comorbidities in COPD.,"[""Due to growing recognition of comorbidities, COPD is no longer considered a disease affecting only the respiratory system. Its management now entails the early diagnosis and treatment of comorbidities. However, although many studies have examined the impact of comorbidities on the evolution of COPD and patients' quality of life, very few have explored the means to systematically identify and manage them. The aims of this article are to summarise the state of current knowledge about comorbidities associated with COPD and to propose a possible screening protocol in the outpatient setting, emphasising the areas needing further research.""]"
8,87,copd,NLM101198632,COPD,['(Producer) Discusses the benefits of water-based versus land-based exercises in the care of COPD patients. Incorporating pulmonary rehabilitation and exercise regimens into the plan of care for chronic lung disease patients has been shown to improve quality of life.']
9,87,copd,M33208482,Extracellular matrix remodelling in COPD.,"['The extracellular matrix (ECM) of the lung plays several important roles in lung function, as it offers a low resistant pathway that allows the exchange of gases, provides compressive strength and elasticity that supports the fragile alveolar-capillary intersection, controls the binding of cells with growth factors and cell surface receptors and acts as a buffer against retention of water.COPD is a chronic inflammatory respiratory condition, characterised by various conditions that result in progressive airflow limitation. At any stage in the course of the disease, acute exacerbations of COPD may occur and lead to accelerated deterioration of pulmonary function. A key factor of COPD is airway remodelling, which refers to the serious alterations of the ECM affecting airway wall thickness, resistance and elasticity. Various studies have shown that serum biomarkers of ECM turnover are significantly associated with disease severity in patients with COPD and may serve as potential targets to control airway inflammation and remodelling in COPD. Unravelling the complete molecular composition of the ECM in the diseased lungs will help to identify novel biomarkers for disease progression and therapy.']"
11,87,copd,NLM9609331,COPD,"[""(Producer)  Chronic obstructive pulmonary disease (COPD) is the fourth leading cause of death in geriatric patients.  Through the use of a case discussion, this program encourages treatment of this disease and shows that even in patients with severe disease, treatment is not futile.  Providing nursing and medical care can improve case outcomes, as evidenced by an increase in the patients' quality of life, sense of psychological well being, functional status, and a decrease in illness and acute hospital stays.  It provides a multidisciplinary approach to assessment (including audio of actual lung sounds), diagnosis, and treatment.  Drug therapy, smoking cessation, immunizations, practical pulmonary rehabilitation techniques, nutrition, ethical issues in geriatrics, and terminal care are all discussed.""]"
12,87,copd,M30602182,Stufentherapie der COPD.,"['The goal of pharmacologic therapy of stable chronic obstructive pulmonary disease (COPD) is to reduce symptoms, improve exercise intolerance and health-related quality of life, and to reduce exacerbations. Inhaled long-acting β2-agonists (LABAs) and long-acting muscarinic antagonists (LAMAs) are equally effective for the symptomatic management of COPD. However, LAMAs are more effective than LABAs in the reduction of exacerbations. In patients with symptomatic COPD pharmacologic therapy is usually escalated using the fixed combination of LAMAs and LABAs (dual bronchodilation), which is also superior to LAMA monotherapy in the prevention of exacerbations. Adding inhaled corticosteroids (ICS) to LABA and LAMA (triple therapy) for a prevention of exacerbations results in a further reduction of exacerbations, especially in those patients with higher blood eosinophil counts. Non-pharmacologic management of COPD patients includes smoking cessation programs, vaccination, pulmonary rehabilitation, and strategies to improve or maintain their physical activity.']"
13,87,copd,M33514670,Ceramide and sphingosine-1 phosphate in COPD lungs.,"['Studies of chronic obstructive pulmonary disease (COPD) using animal models and patient plasma indicate dysregulation of sphingolipid metabolism, but data in COPD lungs are sparse. Mass spectrometric and immunostaining measurements of lungs from 69 COPD, 16 smokers without COPD and 13 subjects with interstitial lung disease identified decoupling of lung ceramide and sphingosine-1 phosphate (S1P) levels and decreased sphingosine kinase-1 (SphK1) activity in COPD. The correlation of ceramide abundance in distal COPD lungs with apoptosis and the inverse correlation between SphK1 activity and presence of emphysema suggest that disruption of ceramide-to-S1P metabolism is an important determinant of emphysema phenotype in COPD.']"
