,qid,qstr,recordid,title,abstract,ranking
1,412,strahlentherapie,M20300923,Strahlentherapie singulärer zerebraler Metastasen.,"['Single cerebral metastases in malignant disease pose a particular therapeutic challenge. The options consist of surgical resection, stereotactic radiation, and total brain irradiation. No significant therapeutic advantage for any of these methods has as yet been demonstrated in the literature. We present the case of a young patient with a single brain metastasis of a sigmoidal carcinoma, in stable general condition. We present our therapeutic regimen and discuss the various pros and cons of the different therapies.']",10
6,412,strahlentherapie,M23196780,Osteosarkom der Prostata nach Strahlentherapie.,"['Osteosarcoma of the prostate is a rare finding. These tumours usually occur years after radiotherapy for prostate cancer. We report the case of a 74-year-old man with prostate cancer who had been treated with radiotherapy and androgen deprivation therapy. The man presented with urinary retention and his prostate was transurethrally resected. The histopathological investigation showed formations of a poorly differentiated osteosarcoma in the prostate. Because of serious comorbidities we decided to withhold chemotherapy considering its potential side effects. The man died a few months after the diagnosis of osteosarcoma in the prostate with the disease in a metastatic stage. In conclusion, osteosarcoma of the prostate is a rarely reported consequence of radiotherapy in patients with prostate cancer and is characterised by poor life expectancy.']",9
9,412,strahlentherapie,M28932944,Kognitive Defizite nach Strahlentherapie von Hirntumoren.,['Brain radiation is an important treatment option for malignant and benign brain diseases. The possible acute or chronic impact of radiation therapy on cognitive performance is important for daily functioning and quality of life. A detailed evaluation of cognitive impairment is important in the context of how to control disease progression. The susceptibility of the hippocampus to radiation-induced neuronal damage and its important role in memory highlight that therapeutic strategies require precision medicine.'],8
11,412,strahlentherapie,M24196281,Multimodales Dokumentenmanagement in der Strahlentherapie.,"['Background and purpose!#!After incorporating treatment planning and the organisational model of treatment planning in the operating schedule system (BAS, ""Betriebsablaufsystem""), complete document qualities were embedded in the digital environment. The aim of this project was to integrate all documents independent of their source (paper-bound or digital) and to make content from the BAS available in a structured manner. As many workflow steps as possible should be automated, e.g. assigning a document to a patient in the BAS. Additionally it must be guaranteed that at all times it could be traced who, when, how and from which source documents were imported into the departmental system. Furthermore work procedures should be changed that the documentation conducted either directly in the departmental system or from external systems can be incorporated digitally and paper document can be completely avoided (e.g. documents such as treatment certificate, treatment plans or documentation). It was a further aim, if possible, to automate the removal of paper documents from the departmental work flow, or even to make such paper documents superfluous. In this way patient letters for follow-up appointments should automatically generated from the BAS. Similarly patient record extracts in the form of PDF files should be enabled, e.g. for controlling purposes.!##!Method!#!The available document qualities were analysed in detail by a multidisciplinary working group (BAS-AG) and after this examination and assessment of the possibility of modelling in our departmental workflow (BAS) they were transcribed into a flow diagram. The gathered specifications were implemented in a test environment by the clinical and administrative IT group of the department of radiation oncology and subsequent to a detailed analysis introduced into clinical routine.!##!Results!#!The department has succeeded under the conditions of the aforementioned criteria to embed all relevant documents in the departmental workflow via continuous processes. Since the completion of the concepts and the implementation in our test environment 15,000 documents were introduced into the departmental workflow following routine approval. Furthermore approximately 5000 appointment letters for patient aftercare per year were automatically generated by the BAS. In addition patient record extracts in the form of PDF files for the medical services of the healthcare insurer can be generated.']",15
14,412,strahlentherapie,M22457018,Aktuelle Anforderungen an das Bildmanagement in der Strahlentherapie.,"['Aims and methods!#!Treatment techniques of increasing complexity such as dynamic/rotational techniques mandate digital management and increasingly image guidance. This constantly increases requirements for image management and archiving. This article discusses the current status of these requirements and will present potential image administration strategies.!##!Results!#!Fundamentals of image administration and storage/archiving are presented (DICOM Standard, radiotherapy-specific issues) along the typical patient pathway (demographic data, radiotherapy treatment planning, signatures/approval of plan and image data, archiving of plan and image data). Different strategies for image management are presented (archiving centered on individual application vs. integral approach with central archiving in a DICOM-RT-PACS governed by a radiation oncology information system (ROCIS)). Infrastructural requirements depending on the amount of image data generated in the department are discussed.!##!Conclusion!#!Application-centered image management provides access to image data including all relevant RT-specific elements. This approach, however, is not migration-safe, requires significant administrative work to ensure a redundancy level that protects against data loss and does not provide datasets that are linked to respective therapeutic interventions. Therefore, centralized image management and archiving that links images to patients and individual steps in the treatment pathway within a standardized DICOM(-RT) environment is preferable despite occasional problems with visualization of specific data elements.']",14
16,412,strahlentherapie,M20508910,Strahlentherapie von Lebermetastasen.,"['Non-invasive treatment of hepatic metastases has become a focal point of interdisciplinary oncology especially since the advent of stereotactic radiation techniques. Worldwide several centers have shown that this treatment is a curative and well tolerated regimen with excellent rates of local control. Modern devices which combine radiation therapy with imaging techniques (image-guided radiotherapy) in particular allow precise dose application, especially for hypofractionated treatment concepts requiring daily repositioning.']",4
17,412,strahlentherapie,M23670839,Strahlentherapie von Meningeomen im Bereich der vorderen Sehbahn.,"['Radiotherapy is an established alternative to surgery in the treatment of meningiomas. Particularly in cases of symptomatic tumors of the optical pathways, irradiation is the treatment of choice when the functional risks of surgery are high. Because histological findings are often lacking an interdisciplinary discussion is important to determine neuroradiological and neuro-ophthalmological patterns of the tumor. As a general benefit for immediate irradiation after subtotal resection could not yet be shown and the risk for side effects is increased, a postoperative radiotherapy has to be discussed in each individual patient. The choice of the special irradiation schedule depends on tumor size and its localization in the proximity of critical structures. Three-dimensional treatment planning with magnetic resonance imaging (MRI) information on the tumor and its surroundings is mandatory. A precise immobilization of the patient is necessary for treatment in the area of the anterior visual pathways.']",3
20,412,strahlentherapie,M22382437,Präklinische Bildgebung im Tiermodell bei Strahlentherapie.,"['Clinical/methodical issue!#!Modern radiotherapy benefits from precise and targeted diagnostic and pretherapeutic imaging.!##!Standard radiological methods!#!Standard imaging modalities, such as computed tomography (CT) offer high morphological detail but only limited functional information on tumors.!##!Methodical innovations!#!Novel functional and molecular imaging modalities provide biological information about tumors in addition to detailed morphological information.!##!Performance!#!Perfusion magnetic resonance imaging (MRI) CT or ultrasound-based perfusion imaging as well as hybrid modalities, such as positron emission tomography (PET) CT or MRI-PET have the potential to identify and precisely delineate viable and/or perfused tumor areas, enabling optimization of targeted radiotherapy. Functional information on tissue microcirculation and/or glucose metabolism allow a more precise definition and treatment of tumors while reducing the radiation dose and sparing the surrounding healthy tissue.!##!Achievements!#!In the development of new imaging methods for planning individualized radiotherapy, preclinical imaging and research plays a pivotal role, as the value of multimodality imaging can only be assessed, tested and adequately developed in a preclinical setting, i.e. in animal tumor models.!##!Practical recommendations!#!New functional imaging modalities will play an increasing role for the surveillance of early treatment response during radiation therapy and in the assessment of the potential value of new combination therapies (e.g. combining anti-angiogenic drugs with radiotherapy).']",1
21,412,strahlentherapie,M23108525,Perkutane Strahlentherapie in der Behandlung des Prostatakarzinoms.,"['Prostate cancer represents the most frequently diagnosed malignant tumor in Germany. Primary radiotherapy is one of the two recommended curative treatment options for this disease. There are two types of radiotherapy: external beam radiotherapy and interstitial brachytherapy. Technical developments during the last two decades have made it possible to achieve improved chances of being cured of tumors and improved relief from disease-related symptoms for patients at all tumor stages. Moreover, treatment can be administered with a reduced rate of side effects. Results of classical 3D conformal radiotherapy as well as modern radiation therapy techniques are comprehensively presented  including the concept of hypofractionation with results from available randomized trials. After comprehensive assessment of all relevant risk factors, recommendations for the type of treatment must be based on a multidisciplinary approach.']",2
22,412,strahlentherapie,M26893137,Strahlentherapie beim nodal-positiven Prostatakarzinom.,"['Background!#!There are numerous randomized trials to guide the management of patients with localized (and metastatic) prostate cancer, but only a few (mostly retrospective) studies have specifically addressed node-positive patients. Therefore, there is uncertainty regarding optimal treatment in this situation. Current guidelines recommend long-term androgen deprivation therapy (ADT) alone or radiotherapy plus long-term ADT as treatment options.!##!Objectives!#!This overview summarizes the existing literature on the use of radiotherapy for node-positive prostate cancer as definitive treatment and as adjuvant or salvage therapy after radical prostatectomy. In this context, we also discuss several PET tracers in the imaging evaluation of patients with biochemical recurrence of prostate cancer after radical prostatectomy. As for definitive treatment, retrospective studies suggest that ADT plus radiotherapy improves overall survival compared with ADT alone. These studies also consistently demonstrated that many patients with node-positive prostate cancer can achieve long-term survival - and are likely curable - with aggressive therapy.!##!Results!#!The beneficial impact of adjuvant radiotherapy on survival in patients with pN1 prostate cancer seems to be highly influenced by tumor characteristics. Men with ≤ 2 positive lymph nodes in the presence of intermediate- to high-grade disease, or positive margins, and those with 3 or 4 positive lymph nodes are the ideal candidates for adjuvant radiotherapy (plus long-term ADT) after surgery.!##!Conclusion!#!There is a need for randomized trials to further examine the potential role of radiotherapy as either definitive or adjuvant treatment, for patients with node-positive prostate cancer.']",12
